Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
aws-cdk-aws-cloudwatch,432195,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-s3-assets,421031,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-sqs,414064,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-applicationautoscaling,409916,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-sns,408325,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-ecr,407722,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-ssm,407568,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-ecr-assets,403355,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-efs,399084,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-autoscaling-common,398318,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-codeguruprofiler,395855,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-assets,393284,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-custom-resources,391636,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-certificatemanager,388925,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-elasticloadbalancingv2,388387,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-cloudformation,385151,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-route53,383443,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-signer,378718,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-autoscaling,378397,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-ecs,371549,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-stepfunctions,369869,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-apigateway,368904,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-sns-subscriptions,366745,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-codestarnotifications,364082,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-elasticloadbalancing,362014,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-kinesis,359974,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-sam,358256,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
cyclonedx-python-lib,357005,6.76,10,3,0,8,10,10,0,10,10,10,7,10,0,0,10
aws-cdk-aws-cognito,356943,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-codebuild,354658,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-events-targets,353579,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-route53-targets,346383,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-cloudfront,345511,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-autoscaling-hooktargets,338490,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-servicediscovery,338335,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-codecommit,337068,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-codepipeline,322535,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-globalaccelerator,317922,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-kinesisfirehose,306361,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-acmpca,305204,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-ecs-patterns,249814,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-lib,225675,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-dynamodb,157606,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-cloudwatch-actions,115108,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
jupyterlab-git,114677,6.76,10,1,0,10,10,10,0,10,10,10,7,10,,0,10
aws-cdk-aws-s3-notifications,112153,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-lambda-event-sources,110772,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-stepfunctions-tasks,95553,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-batch,78423,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-lambda-layer-awscli,76254,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-rds,69593,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-eks,68558,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
