Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
torchaudio,936962,4.56,10,,0,10,0,10,10,,3,0,,0,10
torchdata,866350,4.56,10,,0,10,0,10,10,,6,0,,0,8
itemloaders,723469,4.56,10,0,0,10,0,10,8,,6,0,,0,10
pefile,722354,4.56,10,0,0,10,0,10,8,,6,0,0,0,10
discord-py,699908,4.56,8,0,0,10,0,10,10,,6,0,,0,10
aio-pika,614667,4.56,10,,0,10,0,10,10,,6,0,,0,8
policyuniverse,576587,4.56,10,0,0,10,0,10,8,,6,0,,0,10
formulaic,438795,4.56,10,,0,10,0,10,10,,6,0,,0,8
dbt-spark,434193,4.56,10,,0,10,0,10,10,,6,0,0,0,8
discord,406092,4.56,8,0,0,10,0,10,10,,6,0,,0,10
pyramid,360981,4.56,10,,0,10,0,9,1,,7,10,,0,10
sphinx-design,331292,4.56,10,,0,10,0,10,8,,6,0,,0,10
arxiv,200798,4.56,10,,0,10,0,10,8,,6,0,0,0,10
pytest-selenium,170393,4.56,10,,0,10,0,9,3,10,4,0,,0,10
wavefront-sdk-python,155300,4.56,10,,0,10,0,10,0,10,8,0,0,0,10
decopatch,130843,4.56,10,0,0,10,0,10,0,10,8,0,,0,10
proxy-py,108354,4.56,10,,0,10,0,10,6,10,4,10,0,0,0
pyinstrument-cext,104546,4.56,10,0,0,10,0,10,0,10,8,0,0,0,10
discord-py-self,94541,4.56,8,,0,10,0,10,10,,6,0,,0,10
devtools,91105,4.56,10,,0,10,0,10,8,,6,0,,0,10
google-auth,77897162,4.53,10,,0,,10,10,10,,4,10,,,9
async-timeout,62007704,4.53,10,,0,10,0,9,0,,8,10,0,0,10
send2trash,9521145,4.53,10,,0,10,0,10,7,,7,0,,0,10
opt-einsum,8970335,4.53,10,,0,10,10,10,1,,6,0,,0,10
apispec,4147886,4.53,10,,0,10,0,10,7,,7,0,,0,10
agate,2649192,4.53,10,0,0,10,0,10,7,,7,0,,0,10
oldest-supported-numpy,2411634,4.53,10,0,0,10,0,10,1,,7,9,,0,10
pycares,1961568,4.53,10,0,0,10,0,10,1,10,6,0,,0,10
sounddevice,1344064,4.53,10,0,0,10,0,10,7,,7,0,,0,10
google-cloud-os-login,1306283,4.53,10,,0,10,0,10,3,,3,10,,0,10
wcmatch,1301015,4.53,10,,0,10,0,10,1,10,6,0,,0,10
junitparser,1266251,4.53,10,0,0,10,0,9,4,10,2,0,,0,10
aioconsole,997303,4.53,10,0,0,10,0,10,1,10,6,0,,0,10
objsize,962645,4.53,10,0,0,10,0,10,7,,7,0,,0,10
pytesseract,914772,4.53,10,0,0,10,0,10,7,,7,0,,0,10
aws-encryption-sdk,784581,4.53,10,,0,10,0,10,1,,6,10,,0,10
albumentations,611642,4.53,10,,0,10,0,10,9,,4,0,,0,10
webrtcvad-wheels,598518,4.53,10,0,0,10,0,9,0,10,8,0,,0,10
igraph,593721,4.53,10,,0,10,0,10,10,,4,0,0,0,9
pywinrm,547104,4.53,10,0,0,10,0,10,7,,7,0,,0,10
strawberry-graphql,523964,4.53,10,,0,10,0,10,10,,4,0,0,0,9
scons,461671,4.53,9,0,0,10,0,10,10,,4,0,0,0,10
xattr,322586,4.53,10,,0,10,0,9,0,10,8,0,0,0,10
pyro-ppl,313742,4.53,10,,5,10,0,10,10,,0,0,,0,10
jupyter-packaging,271705,4.53,10,,0,10,0,10,1,,6,10,0,0,10
wurlitzer,271286,4.53,10,,0,10,0,10,1,10,6,0,,0,10
curatorbin,264693,4.53,10,0,0,10,0,0,0,,9,0,,9,10
python-barcode,221037,4.53,10,,0,10,0,10,1,10,6,0,0,0,10
gspread-pandas,186052,4.53,10,0,0,10,0,10,2,10,6,0,0,0,9
mwparserfromhell,175382,4.53,10,0,0,10,0,10,1,10,6,0,,0,10
requirements-detector,162950,4.53,10,,0,10,0,10,10,,7,0,,0,7
awsiotpythonsdk,160290,4.53,10,,0,10,0,10,1,,6,10,,0,10
aiofile,133954,4.53,10,0,0,10,0,9,8,,6,0,,0,10
dag-factory,109208,4.53,10,,0,10,0,10,9,,4,0,,0,10
pyre2,107343,4.53,10,0,0,10,0,10,1,10,6,0,0,0,10
sphinxcontrib-spelling,93693,4.53,10,0,0,10,0,10,1,10,6,0,,0,10
symspellpy,87686,4.53,10,0,0,10,0,10,3,10,6,0,,0,8
cloudfoundry-client,81417,4.53,10,0,0,10,0,10,10,,7,0,,0,7
colorama,108497781,4.50,10,0,0,10,0,10,0,,7,10,,0,10
oauthlib,77904387,4.50,10,,0,10,10,10,0,,7,0,,0,10
decorator,57835298,4.50,10,0,0,10,10,10,0,,7,0,,0,10
mako,19602603,4.50,10,0,0,10,10,10,0,,7,0,,0,10
html5lib,15503392,4.50,10,,0,10,10,10,0,,7,0,,0,10
tinycss2,11345335,4.50,10,0,0,10,10,10,0,,7,0,,0,10
llvmlite,9740799,4.50,10,,0,10,0,10,10,,2,0,,0,10
python3-openid,2355507,4.50,10,0,0,10,10,10,0,,7,0,,0,10
dictdiffer,1653182,4.50,10,,0,10,0,9,1,10,6,0,,0,10
yamale,1021546,4.50,10,,0,10,0,10,0,,7,10,,0,10
minio,1005123,4.50,10,,0,10,0,10,10,,2,0,,0,10
dparse,689967,4.50,10,,0,10,0,10,0,10,7,0,,0,10
portpicker,583507,4.50,10,,0,10,0,10,0,,7,10,,0,10
python-can,567910,4.50,10,,0,,0,10,10,,10,0,8,,10
pastedeploy,489718,4.50,10,0,0,10,0,10,0,,7,10,,0,10
pyshp,406534,4.50,10,0,0,10,0,10,0,10,7,0,,0,10
pytest-order,333509,4.50,10,,0,10,0,9,1,10,6,0,,0,10
importlab,311439,4.50,10,0,0,10,0,10,0,,7,10,,0,10
plaster-pastedeploy,303625,4.50,10,0,0,10,0,10,0,,7,10,,0,10
fpdf2,293706,4.50,10,,0,10,0,10,10,,2,0,,0,10
markdownify,286309,4.50,10,0,0,10,10,10,0,,7,0,,0,10
codecov,284018,4.50,10,0,0,10,0,10,0,,7,10,,0,10
aiopg,252165,4.50,10,,0,10,0,10,0,,7,10,0,0,10
tendo,205875,4.50,10,,0,10,0,9,1,10,6,0,0,0,10
datefinder,186696,4.50,10,0,0,10,0,10,0,10,7,0,,0,10
django-coverage-plugin,177476,4.50,10,0,0,10,0,10,0,,7,10,,0,10
nutter,172292,4.50,10,,0,10,0,10,0,,7,10,,0,10
patchelf,171735,4.50,0,0,0,10,0,10,10,,8,9,0,0,10
ajsonrpc,170475,4.50,10,0,0,10,0,10,0,,7,10,,0,10
django-easy-select2,158484,4.50,10,0,0,10,0,10,6,,8,0,,0,10
idf-component-manager,149673,4.50,10,0,0,10,0,10,10,,2,0,,0,10
pipelinewise-singer-python,127986,4.50,10,,0,10,0,10,0,,7,10,,0,10
codeguru-profiler-agent,114262,4.50,10,,0,10,0,10,0,,7,10,,0,10
qiskit-aer,106784,4.50,10,,0,10,0,10,10,,2,0,,0,10
blosc,94314,4.50,10,,0,10,0,9,1,10,6,0,,0,10
syrupy,90609,4.50,10,,0,10,0,10,10,,2,0,,0,10
pyserde,80558,4.50,10,,0,10,0,10,10,,2,0,,0,10
gitdb,29026895,4.47,10,0,0,10,10,9,0,,7,0,,0,10
pytest-cov,21392722,4.47,10,,0,10,0,10,10,,6,0,,0,7
parso,16385319,4.47,10,0,0,10,10,9,0,,7,0,,0,10
sphinx,8600190,4.47,10,,0,10,0,9,10,,2,0,,10,0
zope-event,6178097,4.47,10,,0,10,0,9,0,,7,10,,0,10
datetime,3542154,4.47,10,,0,10,0,9,0,,7,10,,0,10
pulumi,2239121,4.47,10,,0,0,10,10,10,,0,10,8,0,3
zc-lockfile,1636997,4.47,10,0,0,10,0,9,0,,7,10,,0,10
hydra-core,1558095,4.47,9,,0,10,0,10,10,,9,9,,0,0
django-celery-beat,1069005,4.47,10,,0,10,0,9,8,,5,0,,0,10
gitdb2,927144,4.47,10,0,0,10,10,9,0,,7,0,,0,10
