Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
ml-wrappers,110938,6.00,10,,0,10,0,10,10,10,6,10,,0,10
mock-alchemy,110823,6.00,10,,0,10,0,10,10,10,6,10,,0,10
aqtinstall,102023,6.00,10,0,0,10,0,10,10,10,6,10,0,0,10
django-auditlog,89678,6.00,10,,0,10,0,10,10,10,6,10,0,0,10
django-pipeline,76382,6.00,10,,0,10,0,10,10,10,6,10,,0,10
filelock,54672025,5.97,10,0,0,10,10,9,10,,6,10,,0,10
msal,30907223,5.97,10,,0,10,10,9,10,10,6,0,,0,10
regex,27416159,5.97,10,0,0,10,10,9,10,10,6,0,,0,10
dnspython,20934093,5.97,10,,0,10,10,9,10,,6,10,,0,10
simplejson,17591375,5.97,10,,0,10,10,9,10,10,6,0,0,0,10
prettytable,7900576,5.97,10,,0,10,0,9,10,10,6,10,,0,10
django-redis,1412665,5.97,10,0,0,10,0,9,10,10,6,10,,0,10
rdflib,738725,5.97,10,,2,10,0,10,10,10,4,0,0,7,10
django-oauth-toolkit,352290,5.97,10,,0,10,0,9,10,10,6,10,,0,10
ipython,18627070,5.94,10,,0,10,10,10,10,,6,9,0,0,10
django,8669675,5.94,10,,0,10,10,10,10,,6,9,,0,10
xgboost,8330858,5.94,10,,0,10,0,10,10,,0,10,0,10,10
dask,6552894,5.94,10,0,0,10,10,10,10,,6,9,,0,10
cmake,4762950,5.94,10,,0,10,0,10,10,10,6,0,6,0,10
google-cloud,3499624,5.94,10,,0,10,0,10,10,,0,10,,10,10
docker-compose,1567990,5.94,10,,0,10,0,10,10,10,,0,0,10,10
pyfunceble,214876,5.94,10,,0,10,0,10,10,10,6,0,8,0,8
pillow-heif,192749,5.94,10,,2,10,0,10,10,10,4,10,,0,10
pyfunceble-dev,121326,5.94,10,,0,10,0,10,10,10,6,0,8,0,8
graphql-core,4049334,5.91,10,,0,10,0,10,10,10,6,10,,0,9
djangorestframework-simplejwt,1144177,5.91,10,,0,10,0,10,9,10,6,10,,0,10
geojson,909874,5.91,10,0,0,10,0,10,9,10,6,10,,0,10
pyarrow,64045141,5.88,10,,0,10,10,10,10,10,,10,,0,6
gunicorn,23623916,5.88,10,,0,10,10,9,5,,7,0,0,10,10
tornado,21343136,5.88,10,,0,10,0,10,10,10,4,10,,0,10
cfn-lint,18148594,5.88,10,,0,10,0,10,10,10,4,10,,0,10
fastapi,14449242,5.88,10,,0,10,0,10,10,10,4,10,,0,10
bokeh,3292561,5.88,10,,0,10,0,10,10,10,4,10,,0,10
python-gitlab,2761254,5.88,10,,0,10,0,10,10,10,4,10,0,0,10
ggshield,89981,5.88,10,,0,10,0,10,10,10,4,10,0,0,10
aiohttp,60109533,5.84,10,,0,10,10,9,10,,4,10,0,0,10
argon2-cffi,8137356,5.84,10,,5,10,0,10,2,,8,10,,10,10
arviz,1075146,5.84,10,,0,10,0,10,10,,4,9,0,10,7
scikit-build,541361,5.84,10,,0,10,0,9,10,10,8,0,4,0,10
trufflehog,93203,5.84,10,,0,10,0,10,10,10,6,9,0,0,9
google-crc32c,22916293,5.81,10,,0,10,10,10,4,10,2,10,,0,10
imageio,19762437,5.81,10,,2,10,10,10,10,10,2,0,0,0,10
google-cloud-pubsub,17537100,5.81,10,,0,10,10,10,10,,3,10,,0,10
google-cloud-bigquery-storage,15934163,5.81,10,,0,10,10,10,10,,3,10,,0,10
google-cloud-secret-manager,10684960,5.81,10,,0,10,10,10,10,,3,10,,0,10
google-cloud-resource-manager,7458870,5.81,10,,0,10,10,10,10,,3,10,,0,10
mediapipe,565319,5.81,9,0,0,10,0,10,10,,1,10,,10,9
django-tinymce,154559,5.81,10,0,0,10,0,10,8,10,6,10,,0,10
django-configurations,113416,5.81,10,,0,10,0,10,8,10,6,10,,0,10
multidict,55118803,5.78,10,,0,10,10,9,8,,6,10,0,0,10
msgpack,29291273,5.78,10,0,0,10,10,9,8,,6,10,0,0,10
zope-interface,24529221,5.78,10,,0,10,0,9,8,10,6,10,,0,10
blackduck,328909,5.78,10,,0,10,0,10,10,,9,0,,9,10
alembic,21589401,5.75,10,,0,10,0,10,10,,7,0,,10,10
pg8000,20246426,5.75,10,,0,10,0,10,10,,7,0,,10,10
google-cloud-firestore,5341211,5.75,10,,0,10,10,10,10,,2,10,,0,10
office365-rest-python-client,2778426,5.75,10,0,0,10,0,10,10,,7,0,,10,10
django-stubs,567739,5.75,10,0,0,10,0,10,10,,7,0,,10,10
django-stubs-ext,503131,5.75,10,0,0,10,0,10,10,,7,0,,10,10
kopf,450323,5.75,10,,0,10,0,10,8,10,6,9,,0,10
pyroute2,337103,5.75,10,,0,10,0,9,10,,9,0,0,9,10
jupyterhub,132203,5.75,10,,0,10,0,9,10,10,4,10,,0,9
typing,7993556,5.72,10,,0,10,0,9,10,,7,0,,10,10
ujson,6359108,5.72,10,,0,10,10,9,10,10,2,0,,0,10
sphinxcontrib-htmlhelp,4929120,5.72,10,0,0,10,0,9,10,,7,0,,10,10
sphinxcontrib-applehelp,4915894,5.72,10,0,0,10,0,9,10,,7,0,,10,10
google-cloud-tasks,2760816,5.72,10,,0,10,10,10,9,,3,10,,0,10
fonttools,20653109,5.69,10,,0,10,0,10,10,,6,0,,10,10
jedi,16981095,5.69,9,0,0,10,10,9,10,,3,10,,0,10
omegaconf,4259883,5.69,9,,0,10,0,10,10,,9,0,,9,10
yamllint,3936553,5.69,10,,0,10,0,10,10,,6,0,,10,10
jellyfish,1739501,5.69,10,0,0,10,0,10,10,,6,0,,10,10
skl2onnx,508157,5.69,10,,0,10,0,10,10,,9,0,0,9,9
fastai,242009,5.69,10,0,0,10,0,10,10,,6,0,,10,10
onnxmltools,187752,5.69,10,,0,10,0,10,9,,9,0,0,9,10
bayesian-optimization,166023,5.69,10,0,0,10,0,10,10,,6,0,0,10,10
ax-platform,142343,5.69,10,,0,10,0,10,10,10,2,9,,0,10
django-rq,137272,5.69,10,0,0,10,0,10,10,,6,0,,10,10
numexpr,2878335,5.66,10,0,0,10,10,10,8,,6,0,0,10,5
maturin,238716,5.66,9,,0,10,0,10,10,10,,0,8,0,10
python-redmine,180823,5.66,10,0,0,10,0,9,10,,6,0,,10,10
pdoc,84024,5.66,10,,0,10,0,9,10,,6,0,,10,10
virtualenv,45600977,5.62,6,,0,10,0,10,10,10,6,10,,0,10
identify,8376297,5.62,10,0,0,10,0,10,10,,10,10,,0,10
levenshtein,2694258,5.62,10,,0,10,0,10,6,10,6,10,,0,10
py7zr,1108815,5.62,6,,0,10,0,10,10,10,6,10,,0,10
dirac,1085526,5.62,10,,0,10,0,10,10,10,6,4,,0,10
praw,124860,5.62,10,,0,10,0,10,10,,10,10,,0,10
opensearch-dsl,105904,5.62,10,,0,10,0,10,10,,4,10,4,0,10
pre-commit-hooks,87490,5.62,10,,0,10,0,10,10,,10,10,,0,10
pymdown-extensions,981638,5.59,10,,0,10,0,9,10,10,6,10,,0,6
bottleneck,521646,5.59,10,,0,10,10,10,7,10,4,0,,0,10
pyzmq,17069776,5.56,10,,0,10,10,10,10,,5,4,0,0,10
python-utils,15630864,5.56,10,0,0,10,0,10,10,,7,0,8,0,10
starlette,12318428,5.56,10,,0,10,0,10,10,,9,10,,0,10
fastjsonschema,12049074,5.56,10,0,0,10,10,10,10,,9,0,,0,10
uvicorn,11000316,5.56,10,,0,10,0,10,10,,9,10,,0,10
aws-sam-translator,7234468,5.56,10,,0,10,0,10,10,,9,10,,0,10
python-telegram-bot,723658,5.56,10,,2,10,0,10,10,,6,0,8,0,10
tf-models-nightly,581460,5.56,10,,0,10,0,9,10,,5,10,,10,3
python-benedict,534959,5.56,10,,0,10,0,10,10,10,6,3,,0,10
python-fsutil,503520,5.56,10,,0,10,0,10,10,10,6,3,,0,10
tf-models-official,227170,5.56,10,,0,10,0,9,10,,5,10,,10,3
textx,132631,5.56,10,0,0,10,0,10,10,,7,0,8,0,10
mujoco,78573,5.56,10,,0,10,0,10,10,,9,10,0,0,10
grpcio,52215202,5.53,8,,5,10,10,10,10,,,9,,10,0
grpcio-tools,27000722,5.53,8,,5,10,10,10,10,,,9,,10,0
flake8,19251778,5.53,10,,0,10,0,9,10,,9,10,,0,10
firebase-admin,1396610,5.53,10,,0,10,0,10,5,10,6,10,0,0,10
google-cloud-iam,400765,5.53,10,,0,10,10,10,7,,3,10,,0,10
breathe,347971,5.53,10,0,0,10,0,9,10,,7,0,8,0,10
google-cloud-error-reporting,339383,5.53,10,,0,10,10,10,7,,3,10,,0,10
arpeggio,256901,5.53,10,0,0,10,0,9,10,,7,0,8,0,10
glances,183941,5.53,10,0,2,10,0,9,10,10,4,4,0,0,10
boto3,547651635,5.50,10,,0,10,0,10,10,,8,10,,0,10
jupyter-client,19315093,5.50,10,,0,10,0,10,10,,8,10,0,0,10
nbclient,9476412,5.50,10,,0,10,0,10,10,,8,10,0,0,10
yq,4402994,5.50,10,0,0,10,0,10,10,,8,10,0,0,10
yapf,3654471,5.50,10,0,0,10,0,10,10,,8,10,,0,10
dotnetcore2,1294410,5.50,10,,0,10,0,10,10,,8,10,,0,10
gcloud-aio-auth,364768,5.50,10,,0,10,0,0,10,,8,0,,10,10
gcloud-aio-storage,337969,5.50,10,,0,10,0,0,10,,8,0,,10,10
gcloud-aio-bigquery,294237,5.50,10,,0,10,0,0,10,,8,0,,10,10
beartype,168640,5.50,10,,0,10,0,10,10,10,8,0,,0,10
signxml,161637,5.50,10,0,0,10,0,10,10,,8,10,0,0,10
azure-core,53634728,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-storage-blob,36130147,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-common,33733162,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-identity,24904510,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-core,11289057,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-nspkg,10425313,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-resource,9420942,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-storage-file-datalake,9070203,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-keyvault-secrets,8049596,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-storage,7106697,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-graphrbac,6967188,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-keyvault,6834824,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-containerregistry,6319484,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-keyvault,6305390,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-storage-queue,6042441,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-authorization,5966926,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-cosmos,5878426,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-keyvault-keys,5197042,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-eventhub,5050867,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-dns,4886540,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-data-tables,4661595,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-nspkg,4606978,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-compute,4441137,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-datalake-nspkg,4381731,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-cosmosdb,4023212,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-datalake-analytics,3944503,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-datalake-store,3932456,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-sql,3831757,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-containerservice,3797229,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-msi,3793507,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-recoveryservices,3781047,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-datafactory,3772505,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-servicebus,3736260,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-network,3723446,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-batch,3702141,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-signalr,3702110,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-monitor,3678228,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-containerinstance,3638576,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-eventhub,3609356,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-web,3595132,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-batch,3590166,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-rdbms,3580886,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-redis,3550592,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-servicebus,3544089,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-loganalytics,3542287,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-loganalytics,3524485,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-iothub,3516900,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-cdn,3510144,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-trafficmanager,3508716,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-cognitiveservices,3499156,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-recoveryservicesbackup,3493786,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-search,3471985,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-devtestlabs,3455811,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-marketplaceordering,3449656,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-eventgrid,3429261,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-media,3408811,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-managementgroups,3394468,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-applicationinsights,3391995,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-iothubprovisioningservices,3380909,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-policyinsights,3380583,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-servicefabric,3375494,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-billing,3374858,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-advisor,3374521,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-iotcentral,3364887,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-batchai,3358704,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-consumption,3353214,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-relay,3345249,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-datamigration,3321828,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-maps,3320610,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-appconfiguration,3141782,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-reservations,3053573,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-eventgrid,2818895,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-keyvault-certificates,2792941,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-storage-file-share,2765186,5.47,8,,0,10,0,10,10,,0,10,,9,8
bitarray,2476261,5.47,10,0,0,10,0,9,10,10,8,0,,0,10
azure-mgmt-sqlvirtualmachine,2213364,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-hdinsight,2181632,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-netapp,2175471,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-synapse-artifacts,2173024,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-appconfiguration,2165042,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-security,2163813,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-privatedns,2138841,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-synapse,2138027,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-redhatopenshift,2120720,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-apimanagement,2116772,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-synapse-spark,2111666,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-botservice,2100591,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-imagebuilder,2088415,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-managedservices,2079602,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-servicelinker,2077376,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-kusto,2074727,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-extendedlocation,2047353,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-synapse-managedprivateendpoints,2045255,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-keyvault-administration,2042062,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-synapse-accesscontrol,2039161,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-databoxedge,2022378,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-storage,2014435,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-servicefabricmanagedclusters,2010674,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure,1761664,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-deploymentmanager,1727512,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-subscription,1638546,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-servicefabric,1394311,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt,1393058,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-logic,1381692,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-notificationhubs,1358040,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-scheduler,1355931,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-servicemanagement-legacy,1352900,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-commerce,1316227,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-powerbiembedded,1315851,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-managementpartner,1314814,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-hanaonazure,1312581,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-machinelearningcompute,1311816,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-devspaces,1276068,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-applicationinsights,1261541,5.47,8,,0,10,0,10,10,,0,10,,9,8
artifacts-keyring,614248,5.47,10,,0,10,0,10,0,,9,10,,9,10
onnxconverter-common,574194,5.47,10,,0,10,0,10,0,,9,10,0,9,10
azure-eventhub-checkpointstoreblob-aio,477756,5.47,8,,0,10,0,10,10,,0,10,,9,8
pem,333765,5.47,10,,0,10,10,10,3,,8,10,,0,10
azure-eventhub-checkpointstoreblob,329076,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-mgmt-appcontainers,314318,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-monitor-query,269211,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-schemaregistry,263206,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-ai-metricsadvisor,225757,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-schemaregistry-avroserializer,210400,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-monitor-opentelemetry-exporter,164282,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-ai-formrecognizer,154114,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-search-documents,154109,5.47,8,,0,10,0,10,10,,0,10,,9,8
systemd-python,148966,5.47,10,,0,10,0,10,7,,7,0,,10,10
azure-mgmt-resourcegraph,145236,5.47,8,,0,10,0,10,10,,0,10,,9,8
drf-extensions,144489,5.47,10,0,0,10,0,10,1,,9,10,,9,9
azure-mgmt-hybridcompute,143055,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-ai-textanalytics,137448,5.47,8,,0,10,0,10,10,,0,10,,9,8
pythainlp,127743,5.47,9,0,2,10,0,10,10,10,4,4,,0,10
azure-ai-ml,123693,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-cognitiveservices-knowledge-qnamaker,99413,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-ai-language-questionanswering,98452,5.47,8,,0,10,0,10,10,,0,10,,9,8
azure-ai-language-conversations,98340,5.47,8,,0,10,0,10,10,,0,10,,9,8
gallery-dl,81895,5.47,10,0,0,10,0,10,10,,7,0,8,0,9
azure-mgmt-automation,75840,5.47,8,,0,10,0,10,10,,0,10,,9,8
